zend_version,Environment
phpversion,Environment
phpcredits,Environment
php_sapi_name,Environment
php_uname,Environment
php_ini_scanned_files,Dependency
php_ini_loaded_file,Dependency
strnatcmp,String
strnatcasecmp,String
substr_count,String
strspn,String
strcspn,String
strtok,String
strtoupper,String
strtolower,String
strpos,String
stripos,String
strrpos,String
strripos,String
strrev,String
hebrev,String
hebrevc,String
nl2br,String
basename,String
dirname,String
pathinfo,String
stripslashes,String
stripcslashes,String
strstr,String
stristr,String
strrchr,String
str_shuffle,String
str_word_count,String
str_split,String
strpbrk,String
substr_compare,String
strcoll,String
money_format,String
substr,String
substr_replace,String
quotemeta,String
ucfirst,String
lcfirst,String
ucwords,String
strtr,String
addslashes,String
addcslashes,String
rtrim,String
str_replace,String
str_ireplace,String
str_repeat,String
count_chars,String
chunk_split,String
trim,String
ltrim,String
strip_tags,String
similar_text,String
explode,String
implode,String
join,String
setlocale,String
localeconv,String
nl_langinfo,String
soundex,String
levenshtein,String
chr,String
ord,String
parse_str,String
str_getcsv,String
str_pad,String
chop,String
strchr,String
sprintf,String
printf,Standard streams
vprintf,Standard streams
vsprintf,Standard streams
fprintf,Standard streams
vfprintf,Standard streams
sscanf,Standard streams
fscanf,Standard streams
parse_url,URL Parameter
urlencode,URL Parameter
urldecode,URL Parameter
rawurlencode,URL Parameter
rawurldecode,URL Parameter
http_build_query,URL Parameter
readlink,File Operation
linkinfo,File Operation
symlink,File Operation
link,File Operation
unlink,File Operation
exec,Execution
system,Execution
escapeshellcmd,Execution
escapeshellarg,Execution
passthru,Execution
shell_exec,Execution
proc_open,Execution
proc_close,Execution
proc_terminate,Execution
proc_get_status,Execution
proc_nice,Execution
rand,Mathematics
srand,Mathematics
getrandmax,Mathematics
mt_rand,Mathematics
mt_srand,Mathematics
mt_getrandmax,Mathematics
random_bytes,Mathematics
random_int,Mathematics
getservbyname,Network
getservbyport,Network
getprotobyname,Network
getprotobynumber,Network
getmyuid,Environment
getmygid,Environment
getmypid,Environment
getmyinode,File Operation
getlastmod,File Operation
base64_decode,Serialization
base64_encode,Serialization
password_hash,Cryptography
password_get_info,Cryptography
password_needs_rehash,Cryptography
password_verify,Cryptography
convert_uuencode,Serialization
convert_uudecode,Serialization
abs,Mathematics
ceil,Mathematics
floor,Mathematics
round,Mathematics
sin,Mathematics
cos,Mathematics
tan,Mathematics
asin,Mathematics
acos,Mathematics
atan,Mathematics
atanh,Mathematics
atan2,Mathematics
sinh,Mathematics
cosh,Mathematics
tanh,Mathematics
asinh,Mathematics
acosh,Mathematics
expm1,Mathematics
log1p,Mathematics
pi,Mathematics
is_finite,Mathematics
is_nan,Mathematics
is_infinite,Mathematics
pow,Mathematics
exp,Mathematics
log,Mathematics
log10,Mathematics
sqrt,Mathematics
hypot,Mathematics
deg2rad,Mathematics
rad2deg,Mathematics
bindec,Mathematics
hexdec,Mathematics
octdec,Mathematics
decbin,Mathematics
decoct,Mathematics
dechex,Mathematics
base_convert,Mathematics
number_format,Mathematics
fmod,Mathematics
intdiv,Mathematics
inet_ntop,Network
inet_pton,Network
